x,y,z,r,curvature,torsion
80.8543,76.021,39.5359,2.94134,0.21918,-0.196812
80.9379,75.8967,39.7772,2.91666,0.225435,-0.188721
81.0198,75.757,40.0089,2.88303,0.238045,-0.176084
81.0985,75.6027,40.2292,2.85626,0.256804,-0.161059
81.1722,75.4342,40.4363,2.87897,0.281476,-0.145521
81.2394,75.2524,40.6282,2.80681,0.311716,-0.130663
81.2985,75.0577,40.803,2.81965,0.346895,0.150674
81.3481,74.8509,40.9593,2.83195,0.338782,0.171964
81.3893,74.6331,41.0969,2.8803,0.327069,0.193947
81.4234,74.4051,41.2162,2.91698,0.312918,0.216247
81.4516,74.1682,41.3174,2.83717,0.297523,0.238385
81.4753,73.9234,41.4007,2.82109,0.281978,0.259709
81.4959,73.6717,41.4666,2.77911,0.267202,0.279327
81.5147,73.4142,41.5151,2.75345,0.253916,0.296094
81.533,73.152,41.5466,2.76729,0.242636,0.30869
81.5522,72.8861,41.5614,2.77282,0.233694,0.315827
81.5736,72.6176,41.5597,2.79725,0.22725,-0.574821
81.5978,72.3475,41.542,2.75558,0.199862,-0.709445
81.6224,72.0771,41.5095,2.76119,0.183851,-0.815574
81.6445,71.8078,41.4634,2.67581,0.181069,-0.836101
81.661,71.5406,41.4052,2.64873,0.191872,-0.757228
81.6687,71.277,41.336,2.73036,0.214851,-0.626769
81.6647,71.0181,41.2574,2.70259,0.247725,-0.496886
81.6459,70.7652,41.1705,2.64406,0.288108,-0.389952
81.6091,70.5196,41.0768,2.66799,0.333427,-0.30754
81.5514,70.2825,40.9776,2.78575,0.38036,-0.244383
81.4697,70.0553,40.8741,2.78459,0.424351,0.0870196
81.3621,69.8387,40.7676,3.06117,0.360805,0.113462
81.2313,69.6325,40.6582,3.23738,0.297354,0.153134
81.0813,69.4358,40.5458,3.34617,0.23782,0.218644
80.916,69.2477,40.4306,2.86725,0.183973,0.338455
80.7394,69.0676,40.3123,3.1313,0.136969,0.580949
80.5554,68.8947,40.1911,2.86841,0.0997619,1.07921
80.3679,68.7281,40.067,2.80477,0.0816107,1.65549
80.1809,68.5671,39.9398,2.8446,0.0944102,1.32755
79.9983,68.4109,39.8095,2.97914,0.133198,0.749635
79.824,68.2587,39.6762,3.09949,0.188482,0.38904
79.6611,68.1096,39.5403,2.79098,0.158202,0.655836
79.5083,67.9621,39.4035,2.76047,0.13225,1.08683
79.3636,67.8145,39.2682,2.74983,0.121529,1.45565
79.225,67.6654,39.1366,2.77785,0.135961,1.28341
79.0903,67.513,39.0109,2.74246,0.172538,0.854549
78.9574,67.3557,38.8936,2.70448,0.220943,0.538958
78.8243,67.192,38.7867,2.64377,0.272533,0.349659
78.689,67.0201,38.6926,2.59137,0.320593,0.235179
78.5492,66.8386,38.6136,2.64928,0.359445,0.162262
78.403,66.6457,38.5519,2.54164,0.384743,-0.16005
78.2489,66.4403,38.509,2.58573,0.311023,-0.190273
78.0887,66.2234,38.4838,2.52401,0.250597,-0.234345
77.9246,65.9964,38.4742,2.45898,0.201913,-0.299576
77.7589,65.7606,38.4784,2.43142,0.16373,-0.394215
77.5942,65.5174,38.4944,2.44028,0.135798,-0.518131
77.4326,65.2683,38.5202,2.40529,0.119172,-0.636268
77.2767,65.0147,38.5539,2.38798,0.115586,-0.669338
77.1286,64.7579,38.5935,2.37912,0.125615,-0.586961
76.9908,64.4994,38.6372,2.36266,0.14795,-0.458581
76.8656,64.2406,38.6829,2.27561,0.181053,0.635676
76.7549,63.9829,38.7294,2.23007,0.189198,0.681539
76.6584,63.7287,38.7789,2.21373,0.211028,0.655648
76.5753,63.4802,38.8338,2.23482,0.247652,0.582811
76.5049,63.2398,38.897,2.32987,0.299357,0.498052
76.4465,63.0097,38.9712,2.29044,0.365938,0.421085
76.3992,62.7923,39.0591,2.29902,0.446034,0.35675
76.3624,62.59,39.1634,2.23296,0.535307,0.302844
76.3352,62.405,39.2869,2.18825,0.624042,0.255271
76.3169,62.2398,39.4322,2.21334,0.69628,0.210649
76.3067,62.0965,39.6021,2.22096,0.733881,-0.219933
76.3042,61.977,39.7981,2.19224,0.607976,-0.255245
76.3103,61.8807,40.0164,2.26405,0.501386,-0.296468
76.3262,61.8063,40.2523,2.16636,0.419216,-0.344056
76.3532,61.7525,40.501,2.18407,0.361802,-0.392296
76.3923,61.7183,40.7574,2.2656,0.328468,-0.426988
76.4449,61.7024,41.0168,2.11753,0.318589,-0.431403
76.5121,61.7035,41.2744,2.04135,0.331266,-0.401381
76.5952,61.7205,41.5251,1.9584,0.365057,-0.350201
76.6953,61.7521,41.7643,1.86005,0.418185,-0.29508
76.8138,61.7971,41.9869,1.82581,0.488324,0.0699347
76.9511,61.8544,42.1891,1.77831,0.470204,0.0833658
77.1056,61.9233,42.3707,1.85581,0.442902,0.0981274
77.275,62.0031,42.5323,1.83252,0.41025,0.114544
77.4569,62.0931,42.6746,1.91018,0.375843,0.133092
77.6489,62.1926,42.7984,1.93598,0.34256,0.154268
77.8488,62.301,42.9043,2.04582,0.312497,0.178342
78.0542,62.4176,42.9931,2.04586,0.287138,0.204965
78.2628,62.5418,43.0654,2.06845,0.2676,0.232652
78.4722,62.6729,43.122,2.04041,0.254841,0.258406
78.6802,62.8102,43.1636,2.01534,0.249764,0.511619
78.8845,62.9533,43.1911,1.93609,0.2297,0.63376
