,x,y,z,r,curvature,torsion
343,83.331,75.074,51.087,2.0538,0.2038,5.69E-16
344,83.546,75.082,51.28,2.0952,0.23815,-1.48E-15
345,83.764,75.073,51.465,2.0829,0.27214,-2.19E-15
346,83.986,75.045,51.639,2.0012,0.30386,0.0154
347,84.214,74.995,51.803,1.9281,0.2791,0.0179
348,84.445,74.926,51.957,1.8776,0.25374,0.020956
349,84.678,74.839,52.1,1.7662,0.229,0.024728
350,84.914,74.736,52.234,1.9284,0.20575,0.029475
351,85.149,74.618,52.358,1.884,0.18457,0.035515
352,85.384,74.487,52.473,1.9071,0.16591,0.043174
353,85.617,74.345,52.579,1.8638,0.15023,0.052646
354,85.847,74.193,52.678,1.8422,0.13807,0.063657
355,86.073,74.034,52.768,1.8288,0.13019,0.074973
356,86.294,73.869,52.851,1.8338,0.12751,0.042512
357,86.508,73.699,52.927,1.9737,0.13292,0.0426
358,86.716,73.524,52.996,1.936,0.13816,0.0424
359,86.918,73.344,53.058,1.7747,0.1431,0.0419
360,87.113,73.159,53.113,1.7829,0.14763,0.0413
361,87.302,72.968,53.161,1.7792,0.15163,0.0404
362,87.485,72.771,53.202,1.7369,0.155,0.0393
363,87.662,72.567,53.236,1.776,0.15764,0.0379
364,87.832,72.357,53.263,1.8207,0.15946,0.0364
365,87.996,72.139,53.283,1.846,0.16042,0.0347
366,88.153,71.914,53.296,1.8917,0.16049,-0.0364
367,88.305,71.681,53.302,1.8422,0.14264,-0.043388
368,88.45,71.441,53.302,1.868,0.12577,-0.052791
369,88.59,71.195,53.295,1.8544,0.10994,-0.065818
370,88.725,70.945,53.284,1.8539,0.095158,-0.084447
371,88.856,70.69,53.267,1.795,0.081461,-0.11195
372,88.982,70.432,53.246,1.7837,0.068954,-0.15362
373,89.105,70.173,53.221,1.8415,0.057911,-0.21696
374,89.225,69.912,53.193,1.8832,0.048934,-0.30701
375,89.342,69.651,53.161,1.8056,0.043122,-0.40549
376,89.457,69.392,53.127,1.8462,0.041885,-0.44784
377,89.569,69.134,53.091,1.9672,0.048489,0.26189
378,89.679,68.878,53.053,1.8992,0.056677,0.20018
379,89.786,68.623,53.011,1.8572,0.065957,0.1536
380,89.89,68.369,52.966,1.9105,0.075968,0.11962
381,89.989,68.116,52.917,1.8361,0.08643,0.094813
382,90.084,67.862,52.864,1.862,0.097107,0.076425
383,90.173,67.609,52.805,1.8071,0.10778,0.062519
384,90.256,67.355,52.741,1.8838,0.11823,0.051776
385,90.333,67.1,52.671,1.758,0.12823,0.043306
386,90.402,66.844,52.594,1.8542,0.13755,0.036501
387,90.464,66.586,52.51,1.8542,0.12215,1.70E-15
388,90.52,66.327,52.42,1.7222,0.10708,-1.89E-15
389,90.569,66.066,52.324,1.7079,0.092404,1.32E-15
390,90.613,65.804,52.224,1.7528,0.078174,-4.19E-15
391,90.652,65.542,52.119,1.8435,0.064378,2.04E-15
392,90.687,65.278,52.01,1.9684,0.05098,1.79E-14
393,90.719,65.014,51.899,2.1439,0.037922,2.25E-15
394,90.749,64.749,51.785,2.2932,0.025129,-1.24E-14
395,90.778,64.484,51.671,2.3891,0.012518,-3.12E-13
