x,y,z,r,curvature,torsion
87.43,67.922,44.771,2.4837,0.16929,1.1523
87.296,68.046,44.991,2.4534,0.2018,0.81903
87.149,68.171,45.2,2.319,0.24859,2.04E-17
86.989,68.299,45.396,2.2992,0.22457,-1.06E-15
86.817,68.431,45.58,2.2391,0.19876,-5.74E-16
86.633,68.566,45.751,2.3226,0.17223,-9.76E-16
86.441,68.703,45.913,2.2994,0.14575,1.94E-16
86.24,68.843,46.066,2.3354,0.11978,3.50E-15
86.032,68.984,46.212,2.3977,0.094552,-9.88E-15
85.82,69.128,46.353,2.3155,0.070097,2.05E-14
85.603,69.272,46.488,2.552,0.046318,1.24E-14
85.383,69.417,46.622,0,0.02303,-9.23E-14
84.986,69.491,46.89,2.5548,0.007617,-2.79E-13
84.81,69.421,47.027,2.4966,0.015228,3.84E-14
84.634,69.35,47.163,2.4469,0.022826,-4.24E-14
84.456,69.281,47.299,2.4111,0.030404,-2.97E-14
84.278,69.213,47.435,2.4411,0.037951,-1.08E-14
84.098,69.147,47.57,2.3455,0.045455,-9.84E-15
83.917,69.082,47.704,2.2932,0.052898,-1.16E-14
83.735,69.02,47.838,2.3137,0.060261,2.24E-15
83.55,68.96,47.971,2.2595,0.06752,-1.05E-14
83.363,68.903,48.102,2.2352,0.074646,0.486
83.173,68.849,48.233,2.2321,0.04757,1.1807
82.983,68.797,48.363,2.2106,0.02589,3.9628
82.792,68.746,48.494,2.2554,0.027394,3.5479
82.602,68.696,48.626,2.2661,0.050124,1.0709
82.414,68.646,48.76,2.2841,0.077575,0.45522
82.229,68.594,48.896,2.2472,0.10663,0.24676
82.049,68.541,49.035,2.2853,0.13669,0.15429
81.874,68.484,49.179,2.232,0.16748,0.10559
81.706,68.424,49.327,2.3009,0.19862,0.076789
81.545,68.359,49.481,2.2774,0.22952,-3.91E-15
81.394,68.289,49.641,2.2589,0.2064,-2.26E-15
81.251,68.214,49.807,2.2415,0.18255,5.56E-16
81.114,68.134,49.978,2.3209,0.1585,-7.95E-15
80.984,68.051,50.153,2.3,0.13461,-1.64E-15
80.86,67.964,50.331,2.2703,0.11112,-2.51E-15
80.74,67.874,50.513,2.2819,0.088104,9.99E-15
80.623,67.783,50.698,2.4685,0.065575,-1.24E-15
80.51,67.689,50.884,2.4582,0.043463,-2.86E-14
80.398,67.595,51.071,0,0.021653,-1.69E-13
80.371,67.594,51.492,3.2737,0.030791,1.25E-13
80.458,67.689,51.723,2.9513,0.061867,1.51E-14
80.548,67.783,51.952,2.684,0.093457,9.12E-15
80.644,67.877,52.177,2.2846,0.12568,-5.00E-15
80.747,67.972,52.398,2.1722,0.15846,-1.23E-15
80.859,68.066,52.613,1.9876,0.19146,-1.46E-15
80.982,68.161,52.821,1.9467,0.22399,1.70E-15
81.117,68.255,53.021,1.8674,0.25497,-8.31E-16
81.268,68.35,53.211,1.859,0.28291,1.27E-15
81.434,68.445,53.392,1.8367,0.30612,0.012715
81.619,68.539,53.561,1.8879,0.28488,0.013315
81.82,68.633,53.718,1.9258,0.26756,0.013819
82.035,68.726,53.861,1.9348,0.25421,0.014186
82.265,68.816,53.991,1.9812,0.24477,0.014372
82.506,68.904,54.105,1.888,0.23913,0.014345
82.757,68.989,54.204,1.9888,0.23712,0.014094
83.017,69.07,54.286,1.8486,0.23857,0.013634
83.284,69.145,54.351,1.9048,0.24323,0.012998
83.557,69.215,54.398,1.934,0.25083,0.012233
83.833,69.28,54.426,1.9195,0.26102,0.1076
84.112,69.337,54.434,1.9003,0.23643,0.13124
84.392,69.387,54.424,1.7913,0.21139,0.16198
84.674,69.43,54.399,1.7875,0.18694,0.2031
84.956,69.467,54.36,1.8808,0.16391,0.25923
85.237,69.496,54.31,1.8899,0.14301,0.33624
85.518,69.518,54.25,1.8475,0.12504,0.43904
85.797,69.533,54.183,1.8453,0.11105,0.56363
86.075,69.541,54.11,1.8762,0.10249,0.68169
86.349,69.541,54.035,1.8643,0.10091,0.73843
86.621,69.535,53.958,1.8622,0.10728,0.70035
86.888,69.52,53.882,1.8685,0.10529,-0.1
87.152,69.499,53.807,1.8569,0.10296,-0.112
87.413,69.471,53.732,1.8498,0.10033,-0.126
87.67,69.436,53.658,1.8431,0.097455,-0.14
87.923,69.395,53.583,1.8653,0.094385,-0.157
88.173,69.348,53.508,1.8577,0.091179,-0.175
88.421,69.296,53.432,1.8201,0.087904,-0.194
88.665,69.238,53.356,1.8339,0.084629,-0.215
88.907,69.175,53.278,1.8505,0.08143,-0.237
89.146,69.108,53.198,1.8239,0.078383,-0.259
89.383,69.036,53.118,1.8464,0.075859,1.0091
89.618,68.96,53.036,1.7946,0.078409,0.94549
89.852,68.878,52.955,1.7905,0.085554,0.78963
90.085,68.791,52.876,1.8086,0.096124,0.61735
90.317,68.698,52.8,1.8204,0.10886,0.471
90.55,68.599,52.728,1.803,0.12273,0.35904
90.783,68.493,52.662,1.8416,0.1369,0.27627
91.017,68.381,52.603,1.8256,0.15071,0.21523
91.253,68.261,52.551,1.7871,0.16361,0.1697
91.491,68.134,52.509,1.8407,0.17512,0.135
91.732,67.999,52.476,1.8932,0.15239,3.57E-16
91.975,67.857,52.453,1.8165,0.13113,-1.43E-15
92.22,67.709,52.438,1.8402,0.11131,2.86E-15
92.467,67.556,52.431,1.8333,0.092824,-2.63E-15
92.716,67.397,52.43,1.8879,0.075521,-6.07E-15
92.966,67.235,52.433,1.8801,0.059215,-4.78E-15
93.217,67.07,52.442,1.8884,0.043711,-6.10E-15
93.469,66.902,52.453,1.8094,0.028808,-3.61E-14
93.721,66.733,52.466,1.8558,0.014304,-1.68E-13
